epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.0127,0.56055,2.19672,1.09413,0.217,0.51842,0.12811,0.128,0.26896,2.39531,1.10239,0.0700668,0.00332591,0.00332591
2,176.114,0.40475,1.59279,0.96559,0.32521,0.37451,0.2305,0.23019,0.18783,3.42494,1.06737,0.0400119,0.0066043,0.0066043
3,272.547,0.3899,1.49358,0.96397,0.4497,0.50804,0.31357,0.31308,0.18477,1.84915,1.07399,0.00990194,0.0098277,0.0098277
4,369.974,0.33338,1.4206,0.95148,0.35283,0.40614,0.1723,0.16453,0.36349,2.9009,1.1289,0.0097525,0.0097525,0.0097525
5,469.77,0.27942,1.36693,0.94087,0.44042,0.50635,0.33612,0.33593,0.10448,2.47373,1.04797,0.00967,0.00967,0.00967
6,562.608,0.2557,1.33739,0.93639,0.49879,0.5021,0.38571,0.38404,0.06136,2.29274,1.04935,0.0095875,0.0095875,0.0095875
7,655.53,0.23518,1.31786,0.9328,0.64718,0.37293,0.38153,0.381,0.07329,2.31214,1.04669,0.009505,0.009505,0.009505
8,748.764,0.22414,1.3029,0.93076,0.50561,0.62113,0.45795,0.45598,0.15722,1.10995,1.05989,0.0094225,0.0094225,0.0094225
9,835.094,0.21248,1.28681,0.92885,0.53098,0.45928,0.40102,0.40089,0.05437,2.24599,1.04573,0.00934,0.00934,0.00934
10,918.365,0.20599,1.28199,0.9275,0.52358,0.59155,0.48446,0.48314,0.08326,1.01012,1.05434,0.0092575,0.0092575,0.0092575
11,1001.58,0.1991,1.27401,0.92611,0.51082,0.57973,0.46908,0.46686,0.11791,1.15476,1.05749,0.009175,0.009175,0.009175
12,1077.77,0.19197,1.267,0.92477,0.58797,0.5033,0.47568,0.47344,0.05485,1.25561,1.04996,0.0090925,0.0090925,0.0090925
13,1152.01,0.18707,1.25703,0.92397,0.5883,0.48197,0.47011,0.46983,0.03991,2.26239,1.044,0.00901,0.00901,0.00901
14,1229.77,0.18429,1.25586,0.92366,0.42456,0.57242,0.51298,0.51287,0.05359,0.97835,1.0466,0.0089275,0.0089275,0.0089275
15,1306.52,0.17974,1.24754,0.92293,0.43556,0.62565,0.51511,0.50979,0.05682,1.03608,1.05161,0.008845,0.008845,0.008845
16,1388.41,0.17627,1.24398,0.92225,0.55463,0.60376,0.51902,0.51822,0.03187,0.95081,1.04431,0.0087625,0.0087625,0.0087625
17,1464.44,0.17429,1.24158,0.92211,0.55701,0.58049,0.52259,0.52077,0.04913,0.99866,1.04423,0.00868,0.00868,0.00868
18,1540.31,0.17234,1.2347,0.92151,0.55162,0.59648,0.52,0.51943,0.03476,0.99979,1.04362,0.0085975,0.0085975,0.0085975
19,1618.93,0.16932,1.23499,0.92152,0.60341,0.59561,0.54043,0.53991,0.03442,0.92082,1.04315,0.008515,0.008515,0.008515
20,1694.42,0.16685,1.22958,0.92123,0.60016,0.57881,0.54534,0.54406,0.03379,0.89594,1.04297,0.0084325,0.0084325,0.0084325
21,1769.4,0.16343,1.22518,0.92096,0.61572,0.58871,0.55419,0.55339,0.03524,0.89228,1.04281,0.00835,0.00835,0.00835
22,1844.1,0.16297,1.22201,0.92064,0.62494,0.58336,0.55618,0.55566,0.02682,0.88351,1.04227,0.0082675,0.0082675,0.0082675
23,1937.12,0.16144,1.21978,0.92035,0.62219,0.59091,0.56474,0.56427,0.03419,0.88477,1.04377,0.008185,0.008185,0.008185
24,2031.34,0.16039,1.21275,0.92012,0.62347,0.59225,0.5709,0.57059,0.02639,0.8452,1.04198,0.0081025,0.0081025,0.0081025
25,2124.96,0.15773,1.20783,0.91928,0.51645,0.62405,0.57321,0.57266,0.02957,0.84296,1.04216,0.00802,0.00802,0.00802
26,2219.22,0.15607,1.21241,0.91986,0.61489,0.60608,0.57831,0.57809,0.02817,0.84226,1.04167,0.0079375,0.0079375,0.0079375
27,2312.73,0.15405,1.21122,0.9186,0.61927,0.61198,0.58109,0.58029,0.0337,0.84473,1.04252,0.007855,0.007855,0.007855
28,2406.72,0.15315,1.20649,0.91902,0.52128,0.63373,0.58152,0.57705,0.04003,0.88448,1.04452,0.0077725,0.0077725,0.0077725
